лемма,количество стимулов,список стимулов
удивление,15,"впечатление, вспомнить, заметить, интересный, кричать, неожиданный, оказаться, оказываться, появиться, представление, рад, увидеть, удивиться, узнать, явиться"
коридор,15,"гость, длинный, закрытый, зал, квартира, общий, отдельный, приходить, пройти, проходить, пустой, темный, узкий, черный, широкий"
метр,15,"ближайший, длинный, километр, короткий, круглый, мера, объем, очередь, площадь, пройти, пространство, равный, рост, точный, шаг"
шрифт,15,"газета, классический, книга, крупный, малый, мелкий, небольшой, обычный, одинаковый, правовой, размер, разный, ряд, текст, японский"
подходить,15,"время, встретить, дело, дойти, имя, обратиться, относиться, перейти, подойти, позволить, похожий, прийти, пример, спросить, уходить"
судебный,15,"административный, власть, дело, деятельность, духовный, опыт, правовой, производство, процесс, совет, специалист, статья, судебный, участок, юридический"
ненависть,15,"вера, военный, война, вызывать, дядя, злой, любовь, наука, позволить, причина, свобода, территория, убить, чувство, чувствовать"
продолжение,15,"дочь, жизнь, исследование, конец, начало, остаться, подняться, продолжать, процесс, разговор, род, следующий, сын, требовать, фамилия"
выдумывать,15,"бог, божий, играть, литературный, мир, настоящий, невозможный, образ, представить, представление, придумать, проблема, разработать, театральный, художественный"
достоинство,15,"защита, иметь, мужской, обеспечить, обладать, определить, потерять, признать, принцип, результат, состояние, сохранить, убить, член, чувство"
платеж,15,"дополнительный, единый, квартира, минимальный, налоговый, необходимый, общий, обязанный, обязательный, последний, равный, система, совершить, счет, финансовый"
платок,15,"бабушка, достать, красный, мать, мокрый, национальный, нужный, плакать, потерять, православный, проводить, связанный, связать, сухой, чужой"
шарик,15,"веселый, воздух, воздушный, голубой, желтый, интерес, красный, круг, круглый, легкий, небольшой, огромный, праздник, смешной, старик"
неправильный,15,"действие, злой, информация, истинный, мнение, номер, ответ, плохой, позиция, показаться, правильный, представление, результат, случайный, успех"
топор,15,"боевой, деревянный, достать, железный, зарубежный, использовать, каменный, кровь, лес, прямой, сердце, система, стена, труд, убить"
задний,15,"вид, выполнять, давать, дальний, двор, западный, передний, поздний, последующий, предыдущий, ранний, ряд, сложный, соседний, тема"
комфортный,15,"встреча, домашний, духовный, любимый, место, мягкий, нижний, обычный, прекрасный, привычный, приятный, простой, удобный, условие, честный"
доллар,15,"американский, банк, денежный, деньги, доллар, дорогой, купить, курс, лишний, миллион, мировой, платить, рубль, цена, экономика"
мат,15,"анализ, борьба, детский, зеленый, использовать, крикнуть, кричать, литературный, объявить, партия, разговаривать, спортивный, французский, ход, школьный"
клад,15,"денежный, искать, личный, найти, находить, нести, обнаружить, открывать, показать, положить, потерять, семейный, слово, счет, тайный"
ходьба,15,"берег, борьба, гулять, двигаться, движение, действие, дойти, идти, нога, подойти, пойти, путь, ход, ходить, шаг"
оркестр,15,"горный, духовный, живой, зал, замечательный, зарубежный, классический, международный, музыка, музыкальный, народный, орган, партия, сцена, театр"
внезапный,15,"возможный, встреча, гость, действие, момент, мысль, неожиданный, повод, резкий, скорый, случай, случайный, случиться, смерть, удивительный"
сухой,15,"важный, ветер, вода, волос, выйти, выходить, губа, земля, мокрый, оставаться, поле, старик, тип, тонкий, хлеб"
иметься,15,"быть, вещь, вопрос, впечатление, дух, есть, значение, интерес, информация, находиться, опыт, председатель, проект, рост, счет"
микрофон,15,"ведущий, внимание, выступать, голос, держать, достать, закрытый, записать, золотой, объявить, открытый, песня, петь, произнести, сцена"
считать,15,"деньги, думать, любовь, относиться, платить, раз, решать, счет, считать, считаться, уметь, учить, учиться, число, читать"
в гора,15,"бежать, дело, дорога, ехать, идти, исчезнуть, кричать, отправиться, подняться, поехать, пойти, расти, счастье, уезжать, уехать"
вникать,15,"видеть, возникать, входить, думать, искать, понимать, понять, посвятить, послушать, рассматривать, слушать, слышать, смотреть, участвовать, читать"
подниматься,15,"встать, вырасти, двигаться, доллар, мочь, падать, попытаться, пытаться, расти, рубль, стать, суметь, упасть, уровень, цель"
воображение,15,"впечатление, граница, идея, книжка, писатель, подумать, представить, представление, придумать, пространство, создавать, создание, сознание, сон, удивиться"
волна,15,"берег, ветер, видеть, крикнуть, море, морской, направить, основной, песня, появиться, река, свет, слушать, спокойный, течение"
доверять,15,"ближайший, верить, верный, любить, любовь, относиться, передавать, перестать, поверить, позволить, позволять, привыкнуть, расположить, служить, считаться"
обряд,15,"древний, духовный, еврейский, классический, народный, национальный, обязательный, православный, привычный, провести, религиозный, семейный, совершить, тайный, традиционный"
рождаться,15,"возникнуть, вызывать, жизнь, мысль, начаться, начинаться, погибнуть, появиться, появляться, произойти, происходить, сын, удасться, умереть, явиться"
недвижимость,15,"выбрать, договор, иметь, квартира, объект, оценка, покупать, получить, рынок, снять, собственный, срок, участок, цена, центр"
чело,15,"бить, веселый, голова, дядя, замечательный, знакомый, интересный, мелкий, приятный, реальный, ребенок, святой, тип, уверенный, человек"
в кино,15,"билет, выйти, пойти, показывать, появиться, пригласить, прийти, приходить, роль, ряд, снимать, собраться, сцена, фильм, ходить"
невозможный,15,"возможный, желать, необходимый, обещать, определенный, пара, представить, прямой, сделать, сложный, случиться, требовать, трудный, уметь, утверждать"
участвовать,15,"активный, возможность, входить, действовать, заниматься, играть, обязанный, перестать, предлагать, приходить, приходиться, проводить, состоять, участие, участник"
сфера,15,"деятельность, круг, круглый, направление, наука, определенный, политика, правовой, программа, развитие, социальный, специалист, структура, труд, экономика"
активность,15,"двигаться, движение, действие, действовать, делать, день, деятельность, операция, политика, сделать, сыграть, участвовать, участие, физический, центр"
определение,15,"выбрать, значение, значить, использование, качество, метод, назвать, называть, объяснять, определенный, тема, тип, условие, факт, являться"
переезд,15,"возможный, граница, долгий, закрытый, западный, изменение, невозможный, новый, северный, скорый, транспортный, уезжать, уехать, цель, частый"
срочный,15,"армия, вести, вопрос, действие, дело, задача, обязанный, обязательный, операция, помощь, порядок, разговор, служба, случай, суд"
скучать,15,"бабушка, возвращаться, вспоминать, вспомнить, встретиться, встреча, встречать, ждать, забыть, море, мужчина, ожидать, перестать, плакать, спасти"
наблюдение,15,"анализ, заметить, замечать, исследование, многочисленный, наблюдать, объект, посмотреть, предмет, программа, система, смотреть, узнать, установить, участие"
волнение,15,"впечатление, встретиться, гость, ждать, массовый, назначить, нравиться, ожидать, позвонить, почувствовать, результат, речь, стараться, сцена, экзамен"
акцент,15,"американский, английский, внимание, восточный, еврейский, европейский, иностранный, московский, немецкий, произнести, региональный, узнавать, французский, южный, яркий"
повар,15,"голый, готовить, девочка, деятельность, женщина, искусство, истинный, команда, личный, мать, основной, профессиональный, специалист, старый, являться"
ложка,15,"взять, деревянный, держать, добавить, есть, книжка, мера, мешать, отдать, пара, подать, положить, производство, стол, хватать"
лоб,15,"высокий, естественный, каменный, крепкий, мокрый, низкий, огромный, подумать, попасть, ситуация, смешной, спрашивать, твердый, узкий, широкий"
замечать,15,"верить, выбрать, думать, заметить, замечать, изменить, наблюдать, обнаружить, обратить, определить, отвечать, отметить, рассматривать, смотреть, увидеть"
природный,15,"вид, горный, деревянный, дикий, естественный, живой, зеленый, лесной, материал, объект, окружающий, полезный, природа, сельский, тип"
побег,15,"бежать, быстрый, выход, граница, значительный, массовый, молодой, опасный, план, причина, ранний, свобода, совершить, способ, шаг"
таблетка,15,"больной, взять, врач, выпить, здоровье, кончиться, круг, курс, медицинский, напоминать, пить, помочь, принимать, принять, счастье"
лететь,15,"бежать, воздух, воздушный, время, ехать, идея, момент, неделя, падать, самолет, свобода, способ, стремиться, упасть, хотеть"
будущий,15,"ближайший, бывший, гость, знание, исторический, муж, надежда, настоящий, последний, последующий, предыдущий, проект, прошлый, род, следующий"
уважать,15,"господин, значить, любить, мнение, нравиться, отвечать, относиться, перестать, помнить, понимать, правительство, признать, семья, считаться, требовать"
поделиться,15,"давать, дать, написать, ответить, отдать, отметить, передавать, поговорить, показать, попросить, посвятить, предлагать, рассказать, рассказывать, сложиться"
зритель,15,"ведущий, виноватый, внимание, выступать, голос, зал, кино, массовый, наблюдать, нравиться, постоянный, сцена, театр, улыбнуться, юный"
с человек,15,"встретиться, встречаться, договориться, играть, кончать, обращаться, отношение, поговорить, разговаривать, разговор, связь, согласиться, спрашивать, спросить, считаться"
танк,15,"армия, боевой, военный, война, вооруженный, играть, машина, немецкий, объект, одинаковый, отечественный, российский, самолет, советский, тяжелый"
для весь,15,"единый, жизненный, закон, значить, культурный, массовый, международный, мир, общественный, общий, правило, пример, разный, социальный, федерация"
вырастать,15,"вырасти, доллар, дочь, измениться, интерес, подняться, расти, ребенок, ребята, состояться, стать, стремиться, сын, удасться, цена"
ограничивать,15,"внимание, выбрать, закрыть, испытывать, количество, мера, общество, определить, позволять, свобода, связать, связь, ситуация, территория, характер"
лошадь,15,"бежать, верховный, вести, возраст, год, гражданин, дерево, ездить, ехать, купить, машина, площадь, приезжать, работать, сидеть"
конспект,15,"закончить, записать, индивидуальный, исторический, ответить, писать, план, посвятить, прислать, просить, составить, составлять, тема, учить, юридический"
следствие,15,"глава, дело, искать, материал, метод, период, повод, помощь, последующий, правило, предмет, причина, провести, следовать, течение"
попросить,15,"взять, господин, договориться, занять, заставить, звать, напоминать, обратиться, обращаться, попросить, предлагать, просить, сообщить, спрашивать, требовать"
шутка,15,"веселый, вспоминать, выступать, глупый, политический, придумать, рассказать, рассказывать, случай, смешной, смеяться, смочь, тип, улыбаться, улыбнуться"
тарелка,15,"грязный, есть, использовать, круг, мать, общий, подать, половина, положить, помочь, поставить, принести, принцип, размер, стол"
опаздывать,15,"бежать, временной, гулять, ждать, идти, начальник, поздний, предыдущий, прийти, приходить, проводить, собираться, собраться, успеть, явиться"
производить,15,"впечатление, делать, исследование, общий, показать, построить, продолжать, производство, произойти, происходить, сказать, совершить, создавать, создать, составлять"
диктант,15,"жесткий, задача, записать, исторический, национальный, писать, правило, правильный, правовой, практический, русский, сдавать, текст, художественный, экономический"
приличный,15,"большой, вид, дешевый, достойный, кабинет, культурный, личный, нормальный, общество, организация, показаться, предприятие, различный, район, хороший"
прилогательный,15,"великий, верный, довольный, злой, красивый, летний, отличный, правильный, прекрасный, резкий, русский, солнечный, уголовный, умный, яркий"
приложение,15,"войти, выход, дополнительный, играть, использование, использовать, команда, определить, положение, программа, разработать, создавать, создание, составить, установить"
сообщество,15,"группа, единый, интернет, команда, компания, культура, общественный, организация, партийный, партия, правительство, состоять, участник, федерация, член"
холодильник,15,"белый, большой, голый, грязный, завод, закрытый, небольшой, открывать, открыть, полный, пустой, собственный, совместный, старый, холодный"
баланс,15,"активный, внутренний, денежный, духовный, здоровье, знать, минимальный, природный, равный, существенный, счет, торговый, физический, финансовый, экономический"
отнимать,15,"взять, давать, дать, добавить, занимать, занять, отдать, открывать, помогать, потерять, принимать, принять, просить, снять, убить"
укол,15,"врач, губа, доктор, здоровье, касаться, кровь, медицинский, назначить, операция, острый, поставить, привычный, ставить, страшный, удар"
политический,15,"административный, взгляд, власть, государственный, гражданский, партийный, партия, позиция, политический, программа, речь, российский, система, статья, экономический"
стекло,15,"бить, вода, время, глаз, глядеть, дверь, завод, задний, материал, мера, окно, производство, тонкий, целый, чистый"
фотография,15,"вспоминать, газета, друг, дядя, качество, момент, память, показать, показывать, помнить, прислать, рассматривать, снимать, снять, сохранить"
полностью,15,"висеть, забыть, измениться, использовать, исчезнуть, показать, показаться, половина, понять, посвятить, слушать, смочь, согласиться, согласный, улыбаться"
продавать,15,"женщина, коммерческий, купить, объект, отдать, передавать, передать, план, подать, покупать, предлагать, принести, стоить, торговый, хозяин"
дума,15,"власть, государственный, государство, думать, мнение, мысль, партийный, партия, политика, политический, правительство, председатель, собрать, совет, ум"
третий,15,"вариант, вид, глава, завод, изменение, класс, курс, лишний, период, пол, половина, пункт, ряд, статья, степень"
охрана,15,"военный, вооруженный, граница, защита, министр, наблюдать, начальник, обеспечить, объект, оказаться, служба, собака, солдат, территория, участок"
официальный,15,"административный, государственный, гражданский, деловой, документ, классический, научный, признать, профессиональный, судебный, требование, утверждать, федеральный, форма, юридический"
просторный,15,"двор, деревня, достойный, зал, кабинет, квартира, комната, лес, простой, пространство, светлый, свободный, улица, широкий, электронный"
папка,15,"данные, дело, добавить, документ, закрыть, книга, основной, отдать, отец, открыть, политика, практический, создание, создать, сохранить"
против,15,"большинство, борьба, возникать, возникнуть, выступать, заставить, команда, лицо, народ, обратить, общество, руководство, система, слово, указать"
шикарный,15,"вид, впечатление, женщина, жизнь, идея, искусство, красивый, лучший, машина, образ, отличный, предмет, прекрасный, природа, профессиональный"
универ,14,"государственный, закончить, институт, кабинет, курс, медицинский, московский, пара, поступить, собраться, студент, технический, учиться, экзамен"
крем,14,"воздушный, детский, дешевый, домашний, использовать, классический, легкий, лицо, мягкий, нужный, приятный, рука, солнечный, эффективный"
ценить,14,"бабушка, вспоминать, вспомнить, встречать, жизнь, значить, любить, общество, позволять, просить, сохранить, стоить, счастье, труд"
экономический,14,"институт, интерес, класс, медицинский, наука, политика, политический, порядок, рост, система, союз, торговый, финансовый, юридический"
нуждаться,14,"больной, зависеть, защита, иметь, испытывать, поверить, помогать, помочь, помощь, попросить, приходиться, просить, работать, требовать"
аккуратно,14,"вести, входить, гость, делать, дойти, ездить, обращаться, относиться, писать, подойти, положить, проходить, садиться, стараться"
тропа,14,"дорога, идти, лес, лесной, пойти, поле, пройти, путь, следовать, солнечный, узкий, улица, уходить, ходить"
вечно,14,"власть, возникать, встречаться, думать, жить, искусство, любить, помнить, пьяный, работать, спать, судьба, существовать, счастливый"
вечеринка,14,"встреча, гость, кино, компания, образ, попасть, праздник, пригласить, прийти, продолжать, собираться, событие, суббота, устроить"
мокрый,14,"вещь, вода, голова, деревня, железный, здоровый, кровь, лицо, мокрый, морской, окно, площадь, пол, сухой"
отрицательный,14,"действие, значение, зрение, кровь, нормальный, отказаться, плохой, позиция, положительный, правильный, результат, рост, согласный, число"
улучшать,14,"возможность, добавить, зрение, изменить, измениться, новый, помогать, понять, попытаться, расти, создавать, способ, становиться, стараться"
соперник,14,"бить, борьба, вооруженный, действовать, достойный, команда, опасный, определить, плечо, произойти, равный, сильный, слабый, уверенный"
хор,14,"боевой, духовный, зал, музыкальный, народ, народный, петь, православный, сельский, тайный, театральный, художественный, целый, церковь"
подавать,14,"готовить, гражданин, давать, заявить, отдать, передать, подать, понимать, попросить, предмет, принести, просить, сделать, упасть"
погулять,14,"встретиться, выйти, выпить, договориться, зайти, звать, мочь, обещать, повод, позволить, пойти, пригласить, собираться, собраться"
настоящее,14,"видеть, возможный, желание, жизнь, изменить, имя, история, момент, прошлый, сегодняшний, случиться, современный, счастье, чувствовать"
диагноз,14,"анализ, больной, возможный, врач, доктор, надежда, определить, положение, поставить, психологический, редкий, социальный, точный, установить"
бабочка,14,"живой, замечать, интерес, лететь, любить, наблюдать, ночной, нравиться, природа, роман, становиться, умереть, чувство, чувствовать"
радуга,14,"замечать, красный, мечта, представить, прекрасный, рад, радость, разный, синий, слава, увидеть, улыбнуться, цвет, яркий"
с он,14,"бог, договориться, исчезнуть, кончать, относиться, продолжать, разговаривать, разговор, связанный, случиться, согласиться, согласный, считаться, удивиться"
величие,14,"власть, господин, государство, дерево, достигнуть, знание, история, момент, обладать, отношение, признать, слава, стать, успех"
бассейн,14,"большой, вода, глубокий, голый, закрытый, малый, мелкий, небольшой, объем, открытый, полный, регион, сухой, теплый"
следить,14,"взгляд, директор, жена, заметить, замечать, здоровье, наблюдать, перестать, приходиться, провести, рассматривать, руководитель, следовать, управление"
спасать,14,"доктор, иметь, помогать, помочь, попытаться, пытаться, служба, сохранить, спасти, суметь, труд, убить, удасться, успеть"
проживание,14,"временной, город, качество, место, обеспечить, область, период, постоянный, правило, район, регион, территория, условие, факт"
выпуск,14,"будущий, год, научный, отличный, отметить, партийный, партия, повторить, полный, предыдущий, промышленный, свежий, сегодняшний, форма"
звонить,14,"бабушка, вызвать, вызывать, звать, звонить, обращаться, папа, писать, позвонить, помнить, связь, суметь, телефон, телефонный"
с кто-то,14,"быть, встретиться, встречаться, договориться, жить, поговорить, разговаривать, связанный, случиться, смеяться, согласиться, спать, спрашивать, считаться"
бокс,14,"бить, борьба, заниматься, занятие, защита, небольшой, позиция, правило, сила, сильный, спортивный, теплый, удар, федерация"
в рука,14,"брать, вещь, взять, власть, давать, дать, держать, держаться, нести, оружие, отдать, передавать, передать, сила"
скучно,14,"звучать, играть, кино, книжка, одинаковый, политика, порядок, привычный, смотреть, становиться, статья, театр, текст, учиться"
танцевать,14,"выступать, двигаться, движение, заставить, играть, нравиться, петь, плакать, приходить, продолжать, ребята, уметь, учить, учиться"
с ты,14,"бог, встретиться, встречаться, говорить, гулять, договориться, играть, остаться, поговорить, разговаривать, согласиться, согласный, существовать, считаться"
зов,14,"вечный, внутренний, голос, ждать, имя, ночной, посвятить, природный, редкий, следовать, следующий, слышать, услышать, частый"
напоминание,14,"бывший, впечатление, вспомнить, встреча, забыть, записать, напоминать, повторять, пора, похожий, появиться, создание, требование, установить"
атмосфера,14,"воздух, деревня, домашний, земной, небо, окружающий, почувствовать, привыкнуть, природа, пространство, создавать, создание, создать, чувствовать"
равный,14,"быть, единый, женщина, закон, значение, общий, объем, одинаковый, ответ, похожий, равный, счет, считаться, число"
признавать,14,"замечать, заявить, любить, понять, признать, принять, собраться, согласиться, согласный, считаться, увидеть, узнавать, установить, утверждать"
рубашка,14,"гражданин, классический, красный, муж, носить, парень, плечо, размер, родиться, руководитель, снять, форма, чистый, широкий"
романтик,14,"вечер, встречаться, девушка, кино, книга, любимый, любовь, милый, ночь, парень, роман, стихи, фильм, французский"
законный,14,"административный, государственный, гражданин, деятельность, официальный, партия, политический, порядок, правовой, судебный, требование, требовать, федеральный, юридический"
чайник,14,"горячий, дешевый, дорогой, золотой, использовать, малый, полезный, полный, поставить, пустой, ставить, теплый, электронный, японский"
конституция,14,"государство, документ, закон, знать, обязанный, политика, положение, правило, правительство, право, правовой, структура, федеральный, федерация"
построить,14,"дорога, завод, объект, план, получиться, поставить, построить, смочь, собрать, создание, создать, составить, строить, суметь"
заполнять,14,"выполнить, выполнять, данные, документ, занимать, память, полный, пространство, пустой, решать, составить, составлять, строить, форма"
западный,14,"американский, ветер, восточный, европейский, зарубежный, культура, литература, отечественный, политика, район, регион, российский, сторона, южный"
надоедать,14,"висеть, власть, война, достать, люди, мешать, напоминать, повторять, политика, праздник, работа, разговаривать, традиционный, школа"
подготовка,14,"готовый, качество, курс, направление, начаться, операция, организация, предусмотреть, пример, проходить, собираться, срок, уровень, экзамен"
во сон,14,"возникать, думать, лететь, падать, появиться, появляться, происходить, разговаривать, случиться, увидеть, умереть, упасть, явиться, являться"
такси,14,"автомобиль, вызвать, вызывать, ездить, ехать, ждать, машина, мужчина, ожидать, поехать, привезти, привести, приехать, фильм"
сам,14,"быть, защита, измениться, индивидуальный, начинаться, определенный, получаться, решать, самолет, сделать, содержать, суметь, хозяин, явиться"
месть,14,"время, заметить, идея, использовать, называть, нести, оружие, план, повод, способ, считаться, убить, удар, чувство"
ссср,14,"гражданин, журнал, история, народ, нормальный, очередь, партийный, партия, российский, слава, советский, союз, товарищ, труд"
в общество,14,"войти, главный, значение, находиться, позиция, положение, появиться, появляться, приходиться, роль, сложиться, состоять, состояться, существовать"
подчинение,14,"верить, власть, выполнять, глава, господин, зависеть, заставить, нижний, обязанный, приходиться, руководство, сын, требовать, управление"
близкий человек,14,"близкий, встреча, друг, круг, любовь, мать, муж, необходимый, парень, помощь, простить, разговор, родной, товарищ"
образец,14,"готовый, живой, знаменитый, испытывать, классический, модель, образ, пример, производственный, психологический, тип, удивиться, художественный, человек"
обрыв,14,"берег, глубокий, держаться, исторический, каменный, край, крайний, линия, опасный, парень, резкий, связь, спасти, упасть"
цветной,14,"белый, бумага, голубой, машина, небо, различный, разный, рисунок, серый, тема, тип, художественный, черный, яркий"
выпивать,14,"желание, забыть, компания, отказаться, пить, повод, поговорить, позволить, попросить, предлагать, принести, пьяный, согласиться, успеть"
адвокат,14,"будущий, господин, государственный, договориться, защита, правовой, практический, роль, суд, судебный, судить, фирма, частый, юридический"
светофор,14,"автомобиль, внимание, городской, двигаться, движение, долгий, желтый, зеленый, красный, левый, остановиться, перейти, проходить, стоять"
из дом,14,"выйти, выход, выходить, исчезнуть, показаться, появиться, привезти, принести, работа, работать, уезжать, уехать, уйти, уходить"
в даль,14,"билет, взгляд, видеть, глядеть, дорога, ехать, кричать, отправиться, поехать, показывать, посмотреть, рассматривать, смотреть, уходить"
изображение,14,"вид, добавить, картина, качество, показывать, представить, представление, рассматривать, рисунок, создавать, создание, сохранить, точный, художественный"
пытаться,14,"держаться, жить, казаться, мочь, перестать, подняться, получаться, попробовать, приходиться, пытаться, смочь, стараться, стремиться, учиться"
северный,14,"ветер, восточный, жизнь, западный, край, направление, народ, область, район, регион, сторона, течение, характер, южный"
плод,14,"дерево, земля, земной, крайний, крупный, мертвый, мягкий, поздний, рад, развитие, ранний, свежий, физический, целый"
зависимость,14,"зависеть, интерес, необходимый, отношение, пара, посвятить, привыкнуть, пьяный, связанный, слава, состояние, степень, уровень, число"
оборот,14,"внутренний, государственный, денежный, документ, задний, круг, крупный, литературный, малый, степень, сторона, торговый, финансовый, художественный"
разрешение,14,"война, договориться, ждать, зеленый, качество, отношение, позволить, позволять, получить, попросить, принимать, просить, спрашивать, требовать"
